,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,module
10,GO:BP,GO:0032502,developmental process,0.00030736896109998673,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6876,106,50,26963,0.4716981132075472,0.007271669575334497,query_1,['GO:0008150'],Glut-M1
11,GO:BP,GO:0048856,anatomical structure development,0.00035016612016962735,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",6290,106,47,26963,0.44339622641509435,0.007472178060413354,query_1,['GO:0032502'],Glut-M1
12,GO:BP,GO:0023051,regulation of signaling,0.0004596760808067119,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3638,106,33,26963,0.3113207547169811,0.009070918086860913,query_1,"['GO:0023052', 'GO:0050789']",Glut-M1
13,GO:BP,GO:0048869,cellular developmental process,0.0004945050602365129,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4796,106,39,26963,0.36792452830188677,0.008131776480400334,query_1,"['GO:0009987', 'GO:0032502']",Glut-M1
14,GO:BP,GO:0030154,cell differentiation,0.0004945050602365129,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4795,106,39,26963,0.36792452830188677,0.00813347236704901,query_1,['GO:0048869'],Glut-M1
15,GO:BP,GO:0001944,vasculature development,0.0005256040665731869,True,"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]",796,106,14,26963,0.1320754716981132,0.017587939698492462,query_1,"['GO:0048731', 'GO:0072359']",Glut-M1
16,GO:BP,GO:0048522,positive regulation of cellular process,0.0005266105977264954,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",6243,106,46,26963,0.4339622641509434,0.007368252442735864,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']",Glut-M1
17,GO:BP,GO:0061448,connective tissue development,0.0005556119191843863,True,"""The progression of a connective tissue over time, from its formation to the mature structure."" [GOC:BHF]",308,106,9,26963,0.08490566037735849,0.02922077922077922,query_1,['GO:0009888'],Glut-M1
18,GO:BP,GO:0035295,tube development,0.0005556119191843863,True,"""The process whose specific outcome is the progression of a tube over time, from its initial formation to a mature structure. Epithelial and endothelial tubes transport gases, liquids and cells from one site to another and form the basic structure of many organs and tissues including lung and trachea, kidney, the mammary gland, the vascular system and the gastrointestinal and urinary-genital tracts."" [PMID:12526790]",1181,106,17,26963,0.16037735849056603,0.014394580863674851,query_1,"['GO:0007275', 'GO:0048856']",Glut-M1
19,GO:BP,GO:0022008,neurogenesis,0.0005947447767050889,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",1907,106,22,26963,0.20754716981132076,0.011536444677503933,query_1,"['GO:0007399', 'GO:0030154']",Glut-M1
20,GO:BP,GO:0048870,cell motility,0.000628667553845216,True,"""Any process involved in the controlled self-propelled movement of a cell that results in translocation of the cell from one place to another."" [GOC:dgh, GOC:dph, GOC:isa_complete, GOC:mlg]",1769,106,21,26963,0.19811320754716982,0.011871113623516111,query_1,['GO:0009987'],Glut-M1
21,GO:BP,GO:0045597,positive regulation of cell differentiation,0.0007393610793402912,True,"""Any process that activates or increases the frequency, rate or extent of cell differentiation."" [GOC:go_curators]",971,106,15,26963,0.14150943396226415,0.015447991761071062,query_1,"['GO:0030154', 'GO:0045595', 'GO:0048522', 'GO:0051094']",Glut-M1
22,GO:BP,GO:0048519,negative regulation of biological process,0.0007393610793402912,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5981,106,44,26963,0.41509433962264153,0.007356629326199632,query_1,"['GO:0008150', 'GO:0050789']",Glut-M1
23,GO:BP,GO:0009719,response to endogenous stimulus,0.0007393610793402912,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1648,106,20,26963,0.18867924528301888,0.012135922330097087,query_1,['GO:0050896'],Glut-M1
24,GO:BP,GO:0009653,anatomical structure morphogenesis,0.0007393610793402912,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2769,106,27,26963,0.25471698113207547,0.009750812567713976,query_1,"['GO:0032502', 'GO:0048856']",Glut-M1
25,GO:BP,GO:0045600,positive regulation of fat cell differentiation,0.000871293056190364,True,"""Any process that activates or increases the frequency, rate or extent of adipocyte differentiation."" [GOC:go_curators]",70,106,5,26963,0.04716981132075472,0.07142857142857142,query_1,"['GO:0045444', 'GO:0045597', 'GO:0045598']",Glut-M1
26,GO:BP,GO:0016477,cell migration,0.000871293056190364,True,"""The controlled self-propelled movement of a cell from one site to a destination guided by molecular cues."" [GOC:cjm, GOC:dph, GOC:ems, GOC:pf, Wikipedia:Cell_migration]",1544,106,19,26963,0.1792452830188679,0.012305699481865285,query_1,['GO:0048870'],Glut-M1
27,GO:BP,GO:0007154,cell communication,0.000871293056190364,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",7538,106,51,26963,0.4811320754716981,0.006765720350225524,query_1,['GO:0009987'],Glut-M1
28,GO:BP,GO:0007417,central nervous system development,0.0009517579254786101,True,"""The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."" [GOC:bf, GOC:jid, ISBN:0582227089]",1009,106,15,26963,0.14150943396226415,0.014866204162537165,query_1,"['GO:0007399', 'GO:0048731']",Glut-M1
29,GO:BP,GO:0007507,heart development,0.000991320588793596,True,"""The process whose specific outcome is the progression of the heart over time, from its formation to the mature structure. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:jid, UBERON:0000948]",654,106,12,26963,0.11320754716981132,0.01834862385321101,query_1,"['GO:0048513', 'GO:0072359']",Glut-M1
30,GO:BP,GO:0032501,multicellular organismal process,0.0010649759871614282,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",8528,106,55,26963,0.5188679245283019,0.006449343339587242,query_1,['GO:0008150'],Glut-M1
31,GO:BP,GO:0009966,regulation of signal transduction,0.0010649759871614282,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3036,106,28,26963,0.2641509433962264,0.00922266139657444,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']",Glut-M1
32,GO:BP,GO:0007399,nervous system development,0.001084910559871776,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2531,106,25,26963,0.2358490566037736,0.009877518767285659,query_1,['GO:0048731'],Glut-M1
33,GO:BP,GO:0048518,positive regulation of biological process,0.0011645785565995736,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6584,106,46,26963,0.4339622641509434,0.0069866342648845685,query_1,"['GO:0008150', 'GO:0050789']",Glut-M1
34,GO:BP,GO:0050794,regulation of cellular process,0.0011645785565995736,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",12758,106,72,26963,0.6792452830188679,0.005643517792757485,query_1,"['GO:0009987', 'GO:0050789']",Glut-M1
35,GO:BP,GO:0014706,striated muscle tissue development,0.0011904550072876822,True,"""The process whose specific outcome is the progression of a striated muscle over time, from its formation to the mature structure. Striated muscle contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle. Skeletal muscle myoblasts fuse to form myotubes and eventually multinucleated muscle fibers. The fusion of cardiac cells is very rare and can only form binucleate cells."" [CL:0000737, GOC:dph, GOC:mtg_muscle]",464,106,10,26963,0.09433962264150944,0.021551724137931036,query_1,['GO:0060537'],Glut-M1
36,GO:BP,GO:0072138,mesenchymal cell proliferation involved in ureteric bud development,0.0011904550072876822,True,"""The multiplication or reproduction of cells, resulting in the expansion of a mesenchymal cell population of the ureteric bud, that contributes to ureteric bud development."" [GOC:mtg_kidney_jan10]",2,106,2,26963,0.018867924528301886,1.0,query_1,"['GO:0001657', 'GO:0010463', 'GO:0061209']",Glut-M1
37,GO:BP,GO:0023052,signaling,0.0013097166826739261,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",7507,106,50,26963,0.4716981132075472,0.006660450246436659,query_1,['GO:0050789'],Glut-M1
38,GO:BP,GO:0007165,signal transduction,0.0017083483480051758,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6923,106,47,26963,0.44339622641509435,0.006788964321825798,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']",Glut-M1
39,GO:BP,GO:0060537,muscle tissue development,0.0017605092995418806,True,"""The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers."" [GOC:dph]",491,106,10,26963,0.09433962264150944,0.020366598778004074,query_1,['GO:0009888'],Glut-M1
40,GO:BP,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,0.0017807460217682156,True,"""Any process that modulates the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]",218,106,7,26963,0.0660377358490566,0.03211009174311927,query_1,"['GO:0001932', 'GO:0018108']",Glut-M1
41,GO:BP,GO:0007420,brain development,0.0019822590435906403,True,"""The process whose specific outcome is the progression of the brain over time, from its formation to the mature structure. Brain development begins with patterning events in the neural tube and ends with the mature structure that is the center of thought and emotion. The brain is responsible for the coordination and control of bodily activities and the interpretation of information from the senses (sight, hearing, smell, etc.)."" [GOC:dph, GOC:jid, GOC:tb, UBERON:0000955]",726,106,12,26963,0.11320754716981132,0.01652892561983471,query_1,"['GO:0007417', 'GO:0048513', 'GO:0060322']",Glut-M1
42,GO:BP,GO:0043542,endothelial cell migration,0.002456529551091077,True,"""The orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:go_curators]",231,106,7,26963,0.0660377358490566,0.030303030303030304,query_1,['GO:0016477'],Glut-M1
43,GO:BP,GO:0035556,intracellular signal transduction,0.0025914735464129444,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",2885,106,26,26963,0.24528301886792453,0.00901213171577123,query_1,['GO:0007165'],Glut-M1
44,GO:BP,GO:0018108,peptidyl-tyrosine phosphorylation,0.002865232417339174,True,"""The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine."" [RESID:AA0039]",239,106,7,26963,0.0660377358490566,0.029288702928870293,query_1,"['GO:0006468', 'GO:0018212']",Glut-M1
45,GO:BP,GO:0061209,cell proliferation involved in mesonephros development,0.002865232417339174,True,"""The multiplication or reproduction of cells, resulting in the expansion of the population in the mesonephros."" [GOC:mtg_kidney_jan10]",3,106,2,26963,0.018867924528301886,0.6666666666666666,query_1,"['GO:0001823', 'GO:0072111']",Glut-M1
46,GO:BP,GO:0018212,peptidyl-tyrosine modification,0.0028766653338439373,True,"""The modification of peptidyl-tyrosine."" [GOC:go_curators]",241,106,7,26963,0.0660377358490566,0.029045643153526972,query_1,['GO:0018193'],Glut-M1
47,GO:BP,GO:0010562,positive regulation of phosphorus metabolic process,0.0028766653338439373,True,"""Any process that increases the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus."" [GOC:dph, GOC:tb]",648,106,11,26963,0.10377358490566038,0.016975308641975308,query_1,"['GO:0006793', 'GO:0009893', 'GO:0051174']",Glut-M1
48,GO:BP,GO:0050731,positive regulation of peptidyl-tyrosine phosphorylation,0.0028766653338439373,True,"""Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine."" [GOC:ai]",164,106,6,26963,0.05660377358490566,0.036585365853658534,query_1,"['GO:0001934', 'GO:0018108', 'GO:0050730']",Glut-M1
49,GO:BP,GO:0045937,positive regulation of phosphate metabolic process,0.0028766653338439373,True,"""Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways involving phosphates."" [GOC:go_curators]",648,106,11,26963,0.10377358490566038,0.016975308641975308,query_1,"['GO:0006796', 'GO:0010562', 'GO:0019220']",Glut-M1
50,GO:BP,GO:0050789,regulation of biological process,0.0028794987429980215,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",13153,106,72,26963,0.6792452830188679,0.0054740363415190455,query_1,"['GO:0008150', 'GO:0065007']",Glut-M1
51,GO:BP,GO:0045595,regulation of cell differentiation,0.0029106770301521702,True,"""Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."" [GOC:go_curators]",1762,106,19,26963,0.1792452830188679,0.010783200908059024,query_1,"['GO:0030154', 'GO:0050793', 'GO:0050794']",Glut-M1
52,GO:BP,GO:0060322,head development,0.0031371670579011996,True,"""The biological process whose specific outcome is the progression of a head from an initial condition to its mature state. The head is the anterior-most division of the body."" [GOC:dph]",780,106,12,26963,0.11320754716981132,0.015384615384615385,query_1,['GO:0048856'],Glut-M1
53,GO:BP,GO:0023057,negative regulation of signaling,0.003149383762072017,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",1471,106,17,26963,0.16037735849056603,0.011556764106050306,query_1,"['GO:0023051', 'GO:0023052', 'GO:0048519']",Glut-M1
54,GO:BP,GO:0010648,negative regulation of cell communication,0.0031708484307181287,True,"""Any process that decreases the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",1474,106,17,26963,0.16037735849056603,0.011533242876526458,query_1,"['GO:0007154', 'GO:0010646', 'GO:0048523']",Glut-M1
55,GO:BP,GO:0051094,positive regulation of developmental process,0.0032741192344926183,True,"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",1480,106,17,26963,0.16037735849056603,0.011486486486486487,query_1,"['GO:0032502', 'GO:0048518', 'GO:0050793']",Glut-M1
56,GO:BP,GO:0010594,regulation of endothelial cell migration,0.003677303842498008,True,"""Any process that modulates the rate, frequency, or extent of the orderly movement of an endothelial cell into the extracellular matrix to form an endothelium."" [GOC:BHF, GOC:dph, GOC:tb]",177,106,6,26963,0.05660377358490566,0.03389830508474576,query_1,"['GO:0030334', 'GO:0043542']",Glut-M1
57,GO:BP,GO:0048523,negative regulation of cellular process,0.00382331528238657,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5732,106,40,26963,0.37735849056603776,0.006978367062107467,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']",Glut-M1
58,GO:BP,GO:0001932,regulation of protein phosphorylation,0.003940033426347715,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein."" [GOC:hjd]",808,106,12,26963,0.11320754716981132,0.01485148514851485,query_1,"['GO:0006468', 'GO:0031399', 'GO:0042325']",Glut-M1
59,GO:BP,GO:0060281,regulation of oocyte development,0.004108182821129228,True,"""Any process that modulates the rate or extent of the process whose specific outcome is the progression of an oocyte over time, from initial commitment of the cell to its specific fate, to the fully functional differentiated cell."" [GOC:dph, GOC:tb, PMID:2394318]",4,106,2,26963,0.018867924528301886,0.5,query_1,"['GO:0048599', 'GO:1905879']",Glut-M1
60,GO:BP,GO:1905879,regulation of oogenesis,0.004108182821129228,True,"""Any process that modulates the frequency, rate or extent of oogenesis."" [GO_REF:0000058, GOC:TermGenie, PMID:26434723]",4,106,2,26963,0.018867924528301886,0.5,query_1,"['GO:0048477', 'GO:0051239', 'GO:0060284', 'GO:2000241']",Glut-M1
61,GO:BP,GO:0048738,cardiac muscle tissue development,0.004108182821129228,True,"""The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure."" [GOC:dph, GOC:jid, GOC:lm]",265,106,7,26963,0.0660377358490566,0.026415094339622643,query_1,"['GO:0007507', 'GO:0014706']",Glut-M1
62,GO:BP,GO:0023021,termination of signal transduction,0.004108182821129228,True,"""The signaling process in which signal transduction is brought to an end rather than being reversibly modulated."" [GOC:mtg_signal]",4,106,2,26963,0.018867924528301886,0.5,query_1,['GO:0009968'],Glut-M1
63,GO:BP,GO:0050982,detection of mechanical stimulus,0.004108182821129228,True,"""The series of events by which a mechanical stimulus is received and converted into a molecular signal."" [GOC:ai, GOC:dos]",59,106,4,26963,0.03773584905660377,0.06779661016949153,query_1,"['GO:0009581', 'GO:0009582', 'GO:0009612']",Glut-M1
64,GO:BP,GO:0002573,myeloid leukocyte differentiation,0.004332396078491519,True,"""The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte lineage."" [GOC:add, PMID:16551251]",270,106,7,26963,0.0660377358490566,0.025925925925925925,query_1,"['GO:0002521', 'GO:0030099']",Glut-M1
65,GO:BP,GO:0035051,cardiocyte differentiation,0.0044264401850423185,True,"""The process in which a relatively unspecialized cell acquires the specialized structural and/or functional features of a cell that will form part of the cardiac organ of an individual."" [GOC:bf]",188,106,6,26963,0.05660377358490566,0.031914893617021274,query_1,"['GO:0007507', 'GO:0030154']",Glut-M1
66,GO:BP,GO:0050793,regulation of developmental process,0.004443484103566675,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2699,106,24,26963,0.22641509433962265,0.00889218228973694,query_1,"['GO:0032502', 'GO:0050789']",Glut-M1
67,GO:BP,GO:0002062,chondrocyte differentiation,0.004443484103566675,True,"""The process in which a chondroblast acquires specialized structural and/or functional features of a chondrocyte. A chondrocyte is a polymorphic cell that forms cartilage."" [GOC:dph]",118,106,5,26963,0.04716981132075472,0.0423728813559322,query_1,"['GO:0030154', 'GO:0051216']",Glut-M1
68,GO:BP,GO:0030099,myeloid cell differentiation,0.004582434585659185,True,"""The process in which a relatively unspecialized myeloid precursor cell acquires the specialized features of any cell of the myeloid leukocyte, megakaryocyte, thrombocyte, or erythrocyte lineages."" [GOC:add, ISBN:0781735149]",475,106,9,26963,0.08490566037735849,0.018947368421052633,query_1,"['GO:0030097', 'GO:0030154']",Glut-M1
69,GO:BP,GO:2000026,regulation of multicellular organismal development,0.0046384695140298865,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1551,106,17,26963,0.16037735849056603,0.01096067053513862,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']",Glut-M1
70,GO:BP,GO:0043410,positive regulation of MAPK cascade,0.004971749358586621,True,"""Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the MAPK cascade."" [GOC:go_curators]",482,106,9,26963,0.08490566037735849,0.01867219917012448,query_1,"['GO:0000165', 'GO:0043408', 'GO:1902533']",Glut-M1
71,GO:BP,GO:0046324,regulation of D-glucose import,0.005076200394065081,True,"""Any process that modulates the frequency, rate or extent of the import of the hexose monosaccharide glucose into a cell or organelle."" [GOC:ai]",65,106,4,26963,0.03773584905660377,0.06153846153846154,query_1,"['GO:0010827', 'GO:0046323']",Glut-M1
72,GO:BP,GO:0010001,glial cell differentiation,0.005161729094451649,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a glial cell."" [GOC:go_curators, GOC:mtg_sensu]",283,106,7,26963,0.0660377358490566,0.024734982332155476,query_1,"['GO:0030154', 'GO:0042063']",Glut-M1
73,GO:BP,GO:0042060,wound healing,0.005192341608354633,True,"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]",381,106,8,26963,0.07547169811320754,0.02099737532808399,query_1,['GO:0009611'],Glut-M1
74,GO:BP,GO:0048585,negative regulation of response to stimulus,0.00571096684557439,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1745,106,18,26963,0.16981132075471697,0.010315186246418338,query_1,"['GO:0048519', 'GO:0048583', 'GO:0050896']",Glut-M1
75,GO:BP,GO:0042325,regulation of phosphorylation,0.005977878085471764,True,"""Any process that modulates the frequency, rate or extent of addition of phosphate groups into a molecule."" [GOC:jl]",868,106,12,26963,0.11320754716981132,0.013824884792626729,query_1,"['GO:0016310', 'GO:0019220']",Glut-M1
76,GO:BP,GO:0007166,cell surface receptor signaling pathway,0.006024571133131829,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2776,106,24,26963,0.22641509433962265,0.008645533141210375,query_1,['GO:0007165'],Glut-M1
77,GO:BP,GO:0065007,biological regulation,0.006069642973941466,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",13542,106,72,26963,0.6792452830188679,0.005316792202038104,query_1,['GO:0008150'],Glut-M1
78,GO:BP,GO:0051239,regulation of multicellular organismal process,0.006069642973941466,True,"""Any process that modulates the frequency, rate or extent of a multicellular organismal process, the processes pertinent to the function of a multicellular organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai, GOC:dph, GOC:tb]",3145,106,26,26963,0.24528301886792453,0.008267090620031796,query_1,"['GO:0032501', 'GO:0050789']",Glut-M1
